,No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Option Type
800,799,20-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,27.0,94.4%,2024-03-15,14,"49,000",$1.32,1.25,$0.27,MS,1.23%,Active,"$16,229",$0,"$16,229",,,1.0815,"$8,032,801",Sell Put
801,800,20-Feb-24,Listed - Stock,UMG NA,Buy,Call,EUR,26.56,5%,28,27.0,103.7%,2024-03-15,14,"18,800",$0.51,0.53,$0.09,MS,-2.19%,Active,"-$11,138",$0,"-$11,138",,,1.0815,"$8,021,663",Buy Call
802,801,21-Feb-24,Listed - Stock,ARM US,Sell,Call,USD,133.86,12%,150,123.5,121.5%,2024-03-15,14,"8,100",$1.00,-1.22,-$0.50,UBS,6.48%,Active,"$64,836",$0,"$64,836",,,1.0,"$8,086,499",Sell Call
803,802,21-Feb-24,Listed - Stock,ONON US ,Sell,Put,USD,34.25,27%,27,31.4,86.0%,2024-03-15,14,"32,100",$1.01,0.87,$0.01,UBS,1.46%,Active,"$14,766",$0,"$14,766",,,1.0,"$8,101,265",Sell Put
804,803,21-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,12%,1300,1496.0,86.9%,2024-03-15,14,1,$0.00,0.0,$0.00,MS,3.01%,Active,$45,$0,$45,,,1.0815,"$8,101,310",Sell Put
805,804,21-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,8%,1350,1496.0,90.2%,2024-03-15,14,610,$0.91,0.82,$0.26,MS,0.63%,Active,"$5,772",$0,"$5,772",,,1.0815,"$8,107,082",Sell Put
808,807,22-Feb-24,Listed - Stock,MMYT US,Sell,Put,USD,58.92,7%,55,58.6,93.9%,2024-03-15,14,"1,000",$0.06,0.06,$0.01,UBS,1.35%,Active,$789,$0,$789,,,1.0,"$8,108,360",Sell Put
809,808,22-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,USD,1456.4,8%,1350,1450.0,93.1%,2024-03-15,14,310,$0.45,0.42,$0.12,UBS,0.74%,Active,"$3,316",$0,"$3,316",,,1.0,"$8,111,675",Sell Put
812,811,22-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,26.8,95.1%,2024-03-15,14,"34,600",$0.93,0.88,$0.19,MS,1.30%,Active,"$12,025",$0,"$12,025",,,1.0815,"$8,153,584",Sell Put
813,812,22-Feb-24,Listed - Stock,UMG NA,Buy,Call,EUR,26.56,13%,30,26.8,111.9%,2024-03-15,14,"6,400",$0.17,0.19,$0.00,MS,-0.63%,Active,"-$1,082",$0,"-$1,082",,,1.0815,"$8,152,502",Buy Call
817,816,26-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,4%,1400,1456.0,96.2%,2024-03-15,14,630,$0.99,0.95,$0.36,MS,1.01%,Active,"$10,060",$0,"$10,060",,,1.0815,"$8,214,074",Sell Put
820,819,26-Feb-24,Listed - Stock,MRNA US,Sell,Put,USD,97.48,16%,84,92.0,91.3%,2024-03-15,14,100,$0.01,0.01,$0.00,UBS,0.87%,Active,$80,$0,$80,,,1.0,"$8,231,816",Sell Put
821,820,26-Feb-24,Listed - Stock,MRNA US,Sell,Put,USD,97.48,15%,85,92.0,92.4%,2024-03-15,14,"10,700",$0.98,0.91,$0.16,UBS,1.29%,Active,"$12,721",$0,"$12,721",,,1.0,"$8,244,537",Sell Put
822,821,26-Feb-24,Listed - Stock,ONON US,Sell,Put,USD,34.25,22%,28,32.8,85.4%,2024-03-15,14,"60,100",$1.97,1.68,$0.03,UBS,1.11%,Active,"$21,906",$0,"$21,906",,,1.0,"$8,266,444",Sell Put
823,822,27-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,7%,155,165.0,93.9%,2024-03-15,14,"5,600",$1.00,0.94,$0.24,MS,1.08%,Active,"$10,804",$0,"$10,804",,,1.0815,"$8,277,247",Sell Put
824,823,27-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,26.8,95.1%,2024-03-15,14,"28,200",$0.76,0.72,$0.15,MS,1.62%,Active,"$12,247",$0,"$12,247",,,1.0815,"$8,289,494",Sell Put
