No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Prem Left,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Entry Price,Current Price,Date,C/P,BBG Ticker
918,9-Apr-24,Listed - Stock,ADYEN NA,Sell,Put,USD,1241.20,-5%,1300,1470.0,88.4%,,17-May-24,0,670,$0.98,$0.87,,MS,1.91%,Exercised,"$18,848","-$42,607","-$23,758",,,1.0815,"$6,939,374",$28,FALSE,05/17/24,P,ADY NA 05/17/24 P1300 Equity
919,9-Apr-24,Listed - Stock,BESI NA,Sell,Put,USD,130.00,0%,130,145.0,89.7%,,17-May-24,0,"6,800",$0.99,$0.88,,MS,3.23%,Unwound,"$31,863",$0,"$31,863",,,1.0815,"$6,971,237",$5,FALSE,05/17/24,P,BES NA 05/17/24 P130 Equity
919,9-Apr-24,Listed - Stock,BESI NA,Buy,Put,USD,130.00,0%,130,145.0,89.7%,,17-May-24,0,"20,800",$3.02,$2.70,,MS,-2.60%,Unwound,"-$78,480",$0,"-$78,480",,,1.07,"$6,892,757",-$4,FALSE,05/17/24,P,BES NA 05/17/24 P130 Equity
920,9-Apr-24,Listed - Stock,UMG NA,Sell,Put,USD,28.74,15%,25,27.1,92.3%,,17-May-24,0,"37,000",$1.00,$0.93,,MS,1.23%,Expired,"$12,317",$0,"$12,317",,,1.0815,"$6,905,073",$0,FALSE,05/17/24,P,UMG NA 05/17/24 P25 Equity
921,10-Apr-24,Listed - Stock,STAA US,Sell,Put,USD,40.75,-9%,45,51,88.2%,,21-Jun-24,0,24500,$1.25,$1.10,,UBS,4.53%,Exercised,"$56,583","-$104,125","-$47,542",,,1,"$6,961,656",$2,FALSE,06/21/24,P,STAA US 06/21/24 P45 Equity
922,10-Apr-24,OTC - Index,NKA,Buy,Call,JPY,39500,0%,39500,39195,101.8%,,12-Apr-24,0,28500,"$1,125.75",$7.41,,UBS,-0.38%,Unwound,"-$27,844",$0,"-$27,844",,,0.006578947,"$6,933,812",-$1,FALSE,04/12/24,C,
923,10-Apr-24,OTC - Index,NKA,Buy,Call,JPY,39500,0%,39500,39480,101.8%,,12-Apr-24,0,28625,"$1,130.69",$7.44,,UBS,-0.46%,Unwound,"-$33,964",$0,"-$33,964",,,0.006578947,"$6,899,848",-$1,FALSE,04/12/24,C,
924,10-Apr-24,OTC - Index,NKA,Sell,Call,JPY,39500,0%,39500,39480,101.8%,,10-May-24,0,28625,"$1,130.69",$7.44,,UBS,2.08%,Unwound,"$154,607",$0,"$154,607",,,0.006578947,"$7,054,455",$5,FALSE,05/10/24,C,
925,10-Apr-24,OTC - Index,NKA,Buy,Call,JPY,39500,0%,39500,39470,101.8%,,12-Apr-24,0,23000,$908.50,$5.98,,MS,-2.43%,Unwound,"-$145,475",$0,"-$145,475",,,0.006578947,"$6,908,980",-$6,FALSE,04/12/24,C,
926,10-Apr-24,OTC - Index,NKA,Sell,Call,JPY,39500,0%,39500,39470,101.8%,,10-May-24,0,23000,$908.50,$5.98,,MS,2.02%,Unwound,"$120,747",$0,"$120,747",,,0.006578947,"$7,029,727",$5,FALSE,05/10/24,C,
927,11-Apr-24,Listed - Stock,MBLY US,Sell,Call,USD,28.58,26%,36,30.8,116.9%,,17-May-24,0,"33,000",$1.02,$1.19,,UBS,1.90%,Expired,"$19,272",$0,"$19,272",,,1,"$7,048,999",$1,FALSE,05/17/24,C,MBLY US 05/17/24 C36 Equity
928,11-Apr-24,Listed - Stock,PDD US,Sell,Put,USD,129.31,12%,115,120.5,95.4%,,26-Apr-24,0,16000,$1.93,$1.84,,UBS,1.27%,Expired,"$24,412",$0,"$24,412",,,1,"$7,073,411",$2,FALSE,04/26/24,P,PDD US 04/26/24 P115 Equity
929,11-Apr-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1399.20,0%,1400,1450.0,96.6%,,19-Apr-24,,"1,920",$2.78,$2.69,,MS,0.83%,Exercised,"$22,991","-$1,661","$21,330",,,1.0815,"$7,096,403",$12,FALSE,04/19/24,P,ADYEN NA 04/19/24 P1400 Equity
930,11-Apr-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1241.20,-5%,1300,1450.0,89.7%,,17-May-24,0,"1,900",$2.76,$2.47,,MS,2.20%,Exercised,"$60,512","-$120,825","-$60,313",,,1.0815,"$7,156,915",$32,FALSE,05/17/24,P,ADY NA 05/17/24 P1300 Equity
931,11-Apr-24,Listed - Stock,BESI NA,Sell,Put,EUR,133.50,-1%,135,145.0,93.1%,,19-Apr-24,,"7,000",$1.02,$0.95,,MS,0.89%,Exercised,"$9,005","-$11,356","-$2,351",,,1.0815,"$7,165,920",$1,FALSE,04/19/24,P,BESI NA 04/19/24 P135 Equity
932,11-Apr-24,Listed - Stock,BESI NA,Sell,Put,EUR,130.00,0%,130,145.0,89.7%,,17-May-24,0,"14,000",$2.03,$1.82,,MS,3.34%,Unwound,"$67,710",$0,"$67,710",,,1.0815,"$7,233,629",$5,FALSE,05/17/24,P,BES NA 05/17/24 P130 Equity
